Job Title,Company Name,AI Category,Sector,Skills Mentioned,Job Description,Date Posted,Location,Source Website,Link to Job Post,Keyword
Workflow Automation Specialist,Opzer.co,Robotics,Other,,N/A,2023-03-02T15:09:43+00:00,🌏 Worldwide,RemoteOK,https://remoteok.com/remote-jobs/remote-workflow-automation-specialist-opzer-co-202539,automation
Growth Engineer,Alma,Other AI,Other,,N/A,2022-06-08T00:00:04+00:00,🇪🇺 Europe,RemoteOK,https://remoteok.com/remote-jobs/110926-remote-growth-engineer-alma,automation
